,Private,Apps,Accept,Outstate,Room.Board,Books,Personal,PhD,Terminal,S.F.Ratio,perc.alumni,Expend,Grad.Rate
Abilene Christian University,Yes,1660,1232,7440,3300,450,2200,70,78,18.1,12,7041,60
Adelphi University,Yes,2186,1924,12280,6450,750,1500,29,30,12.2,16,10527,56
Adrian College,Yes,1428,1097,11250,3750,400,1165,53,66,12.9,30,8735,54
Agnes Scott College,Yes,417,349,12960,5450,450,875,92,97,7.7,37,19016,59
Alaska Pacific University,Yes,193,146,7560,4120,800,1500,76,72,11.9,2,10922,15
Albertson College,Yes,587,479,13500,3335,500,675,67,73,9.4,11,9727,55
Albertus Magnus College,Yes,353,340,13290,5720,500,1500,90,93,11.5,26,8861,63
Albion College,Yes,1899,1720,13868,4826,450,850,89,100,13.7,37,11487,73
Albright College,Yes,1038,839,15595,4400,300,500,79,84,11.3,23,11644,80
Alderson-Broaddus College,Yes,582,498,10468,3380,660,1800,40,41,11.5,15,8991,52
Alfred University,Yes,1732,1425,16548,5406,500,600,82,88,11.3,31,10932,73
Allegheny College,Yes,2652,1900,17080,4440,400,600,73,91,9.9,41,11711,76
Allentown Coll. of St. Francis de Sales,Yes,1179,780,9690,4785,600,1000,60,84,13.3,21,7940,74
Alma College,Yes,1267,1080,12572,4552,400,400,79,87,15.3,32,9305,68
Alverno College,Yes,494,313,8352,3640,650,2449,36,69,11.1,26,8127,55
American International College,Yes,1420,1093,8700,4780,450,1400,78,84,14.7,19,7355,69
Amherst College,Yes,4302,992,19760,5300,660,1598,93,98,8.4,63,21424,100
Anderson University,Yes,1216,908,10100,3520,550,1100,48,61,12.1,14,7994,59
Andrews University,Yes,1130,704,9996,3090,900,1320,62,66,11.5,18,10908,46
Angelo State University,No,3540,2001,5130,3592,500,2000,60,62,23.1,5,4010,34
Antioch University,Yes,713,661,15476,3336,400,1100,69,82,11.3,35,42926,48
Appalachian State University,No,7313,4664,6806,2540,96,2000,83,96,18.3,14,5854,70
Aquinas College,Yes,619,516,11208,4124,350,1615,55,65,12.7,25,6584,65
Arizona State University Main campus,No,12809,10308,7434,4850,700,2100,88,93,18.9,5,4602,48
Arkansas College (Lyon College),Yes,708,334,8644,3922,500,800,79,88,12.6,24,14579,54
Arkansas Tech University,No,1734,1729,3460,2650,450,1000,57,60,19.6,5,4739,48
Assumption College,Yes,2135,1700,12000,5920,500,500,93,93,13.8,30,7100,88
Auburn University-Main Campus,No,7548,6791,6300,3933,600,1908,85,91,16.7,18,6642,69
Augsburg College,Yes,662,513,11902,4372,540,950,65,65,12.8,31,7836,58
Augustana College IL,Yes,1879,1658,13353,4173,540,821,78,83,12.7,40,9220,71
Augustana College,Yes,761,725,10990,3244,600,1021,66,70,10.4,30,6871,69
Austin College,Yes,948,798,11280,4342,400,1150,81,95,13,33,11361,71
Averett College,Yes,627,556,9925,4135,750,1350,59,67,22.4,11,6523,48
Baker University,Yes,602,483,8620,4100,400,2250,58,68,11,21,6136,65
Baldwin-Wallace College,Yes,1690,1366,10995,4410,1000,1000,68,74,17.6,20,8086,85
Barat College,Yes,261,192,9690,4300,500,500,57,77,9.7,35,9337,71
Bard College,Yes,1910,838,19264,6206,750,750,98,98,10.4,30,13894,79
Barnard College,Yes,2496,1402,17926,8124,600,850,83,93,10.3,33,12580,91
Barry University,Yes,990,784,11290,5360,600,1800,76,78,12.6,11,9084,72
Baylor University,Yes,6075,5349,6450,3920,600,1346,71,76,18.5,38,7503,72
Beaver College,Yes,1163,850,12850,5400,400,800,78,89,12.2,30,8954,73
Bellarmine College,Yes,807,707,8840,2950,750,1290,74,82,13.1,31,6668,84
Belmont Abbey College,Yes,632,494,9000,4850,300,2480,78,85,13.2,10,7550,52
Belmont University,Yes,1220,974,7800,3664,650,900,61,61,11.1,19,7614,49
Beloit College,Yes,1320,923,16304,3616,355,715,87,95,11.1,26,12957,69
Bemidji State University,No,1208,877,4425,2700,660,1800,57,62,19.6,16,3752,46
Benedictine College,Yes,632,620,9550,3850,350,250,64,84,14.1,18,5922,58
Bennington College,Yes,519,327,21700,4100,600,500,35,59,10.1,33,16364,55
Bentley College,Yes,3466,2330,13800,5510,630,850,87,87,17.5,20,10941,82
Berry College,Yes,1858,1221,8050,3940,350,2375,80,80,16.3,17,10511,63
Bethany College,Yes,878,816,8740,3363,550,1700,62,68,11.6,29,7718,48
Bethel College KS,Yes,202,184,8540,3580,500,1400,61,80,8.8,32,8324,56
Bethel College,Yes,502,384,6200,2900,600,800,63,63,11.7,13,7623,35
Bethune Cookman College,Yes,1646,1150,5188,3396,650,2500,48,48,13.8,9,6817,58
Birmingham-Southern College,Yes,805,588,11660,4325,400,900,74,79,14,34,8649,72
Blackburn College,Yes,500,336,6500,2700,500,1000,76,76,14.3,53,8377,51
Bloomsburg Univ. of Pennsylvania,No,6773,3028,7844,2948,500,1680,66,68,18,19,7041,75
