,AtBat,Runs,CHits,CWalks,Errors,Hits,Years,CRBI,League,HmRun,CAtBat,Division,RBI,CHmRun,CRuns
 -BillyJo Robidoux,181,15,50,45,5,41,2,NA,A,1,232,E,21,4,20
 -Cory Snyder,416,58,113,16,10,113,1,69,NA,24,416,E,69,24,58
 -Cal Ripken,627,98,927,313,13,177,6,472,A,25,3210,E,81,133,529
 -Doug Baker,24,1,28,9,0,3,3,NA,A,NA,159,W,0,0,20
 -Rance Mulliniks,348,50,614,269,6,90,10,273,A,11,2288,E,45,43,295
 -Jesse Barfield,589,107,634,238,3,170,6,376,A,40,2325,E,108,128,371
 -Mike Scioscia,374,36,519,288,15,94,NA,199,N,5,1968,W,26,26,181
 -Don Baylor,585,93,1982,727,0,139,17,1179,A,31,7546,E,94,315,1141
 -Eddie Murray,495,61,1679,709,13,151,10,1015,A,17,5624,E,84,275,884
 -Tom Brunansky,593,69,686,321,6,152,6,384,A,23,2765,W,75,133,369
 -Rob Deer,466,75,142,102,8,108,3,109,A,33,652,E,86,44,102
 -Mike Diaz,209,22,58,19,3,56,2,37,N,12,216,E,36,12,24
 -Darrell Porter,155,21,1338,875,1,41,16,NA,A,12,5409,W,29,181,746
 -Mike Kingery,209,25,54,12,3,54,1,14,A,3,209,W,14,3,25
 -Mike Marshall,330,47,516,161,6,77,6,288,N,19,1928,W,53,90,247
 -Luis Rivera,166,20,34,17,9,34,1,13,N,0,166,E,13,0,20
 -Tim Wallach,480,50,771,239,16,112,7,406,N,18,3031,E,71,110,338
 -John Kruk,278,33,86,45,2,86,1,38,NA,4,278,W,38,4,33
 -Buddy Bell,568,89,2273,732,10,158,15,993,N,20,8068,W,75,177,1045
 -Leon Durham,484,66,844,377,7,127,7,458,N,20,3006,E,65,116,436
 -Bob Horner,517,70,994,337,8,141,9,652,N,27,3571,W,87,215,545
 -Graig Nettles,354,36,2172,1057,16,77,20,1267,N,16,8716,W,55,384,1172
 -Terry Kennedy,19,2,4,1,8,4,1,3,N,1,19,W,3,1,2
 -Mike Fitzgerald,209,20,209,92,3,59,4,106,N,6,884,E,37,14,66
 -Julio Franco,599,80,715,158,18,183,5,326,A,10,2482,E,74,27,330
 -Larry Herndon,283,33,1222,307,2,70,12,483,A,8,4479,E,37,94,557
 -Steve Buechele,461,54,160,49,11,112,2,75,A,18,680,W,54,24,76
 -Greg Brock,325,33,351,214,3,76,5,219,N,16,1506,W,52,71,195
 -Kal Daniels,181,34,58,22,3,58,1,23,N,6,181,W,23,6,34
 -Bobby Grich,313,42,1833,1087,7,84,17,864,A,NA,6890,W,30,224,1033
 -Hal McRae,278,22,2081,643,0,70,18,1088,A,7,7186,W,37,190,935
 -Steve Sax,633,91,872,274,16,210,6,230,N,6,3070,W,56,19,420
 -Willie Upshaw,573,85,857,332,12,144,8,420,A,9,3198,E,60,97,470
 -Nick Esasky,330,35,326,167,5,76,4,198,N,12,1367,W,41,55,167
 -Kevin Mitchell,328,51,94,33,8,91,2,44,N,12,342,E,43,12,51
 -Bill Madlock,379,38,1906,571,24,106,14,803,N,10,6207,W,60,146,859
 -Curt Ford,214,30,59,27,3,53,2,32,N,2,226,E,29,2,32
 -Johnny Ray,579,67,880,218,5,174,6,337,N,7,3053,E,78,32,366
 -Darryl Motley,227,23,324,67,2,46,NA,158,A,7,1325,W,20,44,156
 -Dann Bilardello,191,12,163,52,8,37,4,74,N,4,773,E,17,16,61
 -Tony Armas,16,1,4,0,8,2,2,0,A,0,28,E,0,0,1
 -Reggie Jackson,419,65,2510,1342,0,101,20,1659,A,18,9528,W,58,548,1509
 -Tony Pena,510,56,821,174,18,147,7,340,N,10,2872,E,52,63,307
 -Joe Orsulak,401,60,238,55,4,100,4,44,N,2,876,E,19,2,126
 -Mike Easler,490,64,1000,301,0,148,13,491,A,14,3400,E,78,113,445
 -Jim Rice,618,98,2163,564,8,200,13,1289,A,20,7127,E,110,351,1104
 -Tim Hulett,520,53,227,52,11,120,4,80,A,17,NA,W,44,22,106
 -Andy VanSlyke,418,48,392,203,7,113,4,204,N,13,NA,E,61,41,205
 -Rick Cerone,216,22,665,198,4,56,12,304,A,4,2796,E,18,43,266
 -Al Newman,185,23,42,24,7,37,2,9,N,1,214,E,8,1,30
 -Davey Lopes,255,49,1661,820,8,70,15,608,N,7,6311,E,35,154,1019
 -Tom Foley,263,26,220,86,4,70,4,82,N,1,888,E,23,9,83
 -Rick Manning,205,31,1323,459,2,52,12,445,A,8,5134,E,27,56,643
 -Steve Lombardozzi,453,53,123,58,6,103,2,39,A,8,507,W,33,8,63
 -Tony Perez,200,14,2732,925,7,51,23,1652,N,2,9778,W,29,379,1272
 -Glenn Braggs,215,19,51,11,12,51,1,18,A,NA,215,E,18,4,19
 -Wally Backman,387,67,506,194,17,124,7,125,N,1,1775,E,27,6,272
 -Mike Young,369,43,323,157,6,93,5,177,A,9,1258,E,42,54,181
 -Bruce Bochte,407,57,1478,653,9,104,12,658,A,6,5233,W,43,100,643
 -Dwayne Murphy,329,50,948,635,2,83,9,528,A,NA,3828,W,39,145,575
 -Phil Bradley,526,88,470,174,1,163,4,167,A,12,1556,W,50,38,245
 -Tom Brookens,281,42,657,179,7,NA,8,300,A,3,2658,E,25,48,324
 -Dave Winfield,565,90,2083,791,5,148,14,1234,A,24,7287,E,104,305,1135
 -Reggie Williams,303,35,87,23,3,NA,2,32,N,4,312,W,32,4,39
 -Candy Maldonado,405,49,231,64,3,102,6,138,N,18,950,W,85,29,99
 -Bob Kearney,204,23,308,66,5,49,7,132,A,6,1309,W,25,27,126
 -Randy Bush,357,50,344,136,4,96,5,192,A,7,1394,W,45,43,178
 -Jeffrey Leonard,341,48,808,221,5,95,10,428,N,6,2964,W,42,81,379
 -Hubie Brooks,306,50,822,187,15,104,7,377,N,14,2954,E,58,55,313
 -Mariano Duncan,407,47,230,68,25,93,2,69,N,8,969,W,30,14,121
 -Juan Samuel,NA,90,541,91,25,157,4,226,N,16,2020,E,78,52,310
 -Dave Parker,637,89,2024,495,9,174,14,1093,N,31,6727,W,116,247,978
 -Mark Salas,258,28,170,36,8,60,3,75,A,8,638,W,33,17,80
 -Andy Allanson,293,30,66,14,20,66,1,29,NA,1,293,E,29,1,30
 -Darryl Strawberry,475,76,471,267,6,123,4,343,N,27,1810,E,93,NA,292
 -Ron Cey,256,42,1845,990,8,70,16,1128,N,13,7058,E,36,312,965
 -Wayne Krenchicki,221,21,283,106,6,53,8,124,N,2,1063,E,23,15,107
 -Joe Carter,663,108,404,68,6,200,4,222,A,29,1447,E,121,57,210
 -Gary Gaetti,596,NA,728,224,21,171,6,401,A,34,2862,W,108,107,361
 -Dickie Thon,278,24,565,162,10,69,8,192,N,3,2079,W,21,32,258
 -Donnie Hill,339,37,290,55,9,96,4,108,A,4,1064,W,29,11,123
 -Tim Raines,580,91,1028,469,6,194,8,314,N,9,3372,NA,62,48,604
 -Bill Schroeder,217,32,160,32,1,46,4,76,A,7,694,E,19,32,86
 -Mike Brown,243,18,228,76,3,53,4,110,N,4,853,E,26,23,101
 -Mitch Webster,576,89,232,79,8,167,4,83,N,8,822,E,49,19,132
 -Ron Roenicke,275,42,NA,172,2,68,6,104,N,5,961,E,42,16,128
 -Kevin Bass,591,83,462,82,5,184,5,195,N,20,1689,W,79,40,219
 -Lee Lacy,491,77,1240,340,2,141,15,430,A,11,4291,E,47,84,615
 -Alex Trevino,202,31,467,161,11,53,9,186,N,4,1876,W,26,15,192
 -Mickey Tettleton,211,26,116,78,8,43,3,55,A,10,498,W,35,14,59
 -Pete Incaviglia,540,82,135,55,14,135,1,88,A,30,540,W,88,30,82
 -Terry Puhl,172,17,1150,406,0,42,10,363,N,3,4086,W,14,57,579
 -Chili Davis,526,71,715,289,9,146,6,342,N,13,2648,W,70,77,352
 -Vince Coleman,600,94,309,110,9,139,2,69,N,0,1236,E,29,1,201
 -Argenis Salazar,298,24,108,12,9,73,3,37,A,0,509,W,24,0,41
 -Carney Lansford,591,80,1307,319,4,168,9,563,A,19,4478,W,72,113,634
 -Jorge Orta,336,35,1610,497,0,93,15,741,A,9,5779,W,46,128,730
 -Darnell Coles,521,67,205,78,23,142,4,103,A,20,815,E,86,22,99
 -John Cangelosi,438,65,103,71,9,103,2,32,NA,2,440,W,32,2,67
 -Brian Downing,513,90,1382,784,3,137,14,734,A,20,5201,W,95,166,763
 -Andres Thomas,323,26,86,8,19,81,2,34,N,6,341,W,32,6,32
 -Len Matuszek,199,26,191,87,5,52,6,119,N,9,805,W,28,30,113
 -Rick Dempsey,327,42,939,466,7,68,18,380,A,13,3949,E,29,78,438
 -Fred Lynn,397,67,1632,NA,4,114,13,926,NA,23,5589,E,67,241,906
 -Gary Ward,380,54,900,240,1,120,8,419,A,5,3118,W,51,92,444
 -Joel Skinner,315,23,108,28,3,73,4,46,A,5,450,W,37,6,38
 -Billy Sample,200,23,684,195,1,57,9,230,N,6,2516,W,14,46,371
 -Bobby Bonilla,426,55,109,62,2,109,1,43,NA,3,426,W,43,3,55
 -Gary Matthews,370,49,NA,921,9,96,15,955,N,21,6986,E,46,231,1070
 -Jim Morrison,537,58,730,174,20,147,10,351,N,23,2744,E,88,97,302
 -Bill Russell,216,21,1926,483,5,54,18,627,N,0,7318,W,18,46,796
 -Ernest Riles,524,69,260,90,20,132,2,92,A,9,972,E,47,14,123
 -Wayne Tolleson,475,61,433,146,7,126,6,93,A,3,1700,W,43,7,217
 -George Hendrick,283,45,1910,546,NA,77,16,1067,A,14,6840,W,47,259,915
 -Ricky Jones,33,2,6,7,4,6,1,4,A,0,33,W,4,0,2
 -Tony Gwynn,642,107,770,193,4,211,5,230,N,14,2364,W,59,27,352
 -Kirby Puckett,680,119,587,91,6,223,3,201,A,31,1928,W,96,35,262
 -Glenn Wilson,584,70,636,134,4,158,5,316,N,15,2358,E,84,58,265
