,Walks,CRuns,RBI,Hits,Years,CHmRun,Division,CAtBat,Salary,NewLeague,HmRun,League,Assists,CRBI,PutOuts
 -Bo Diaz,40,246,56,129,10,61,W,2331,750,N,10,N,83,327,732
 -Chris Speier,NA,698,23,44,16,98,E,6631,275,N,6,N,88,661,53
 -Julio Franco,32,330,74,183,5,27,E,2482,775,A,10,A,374,326,231
 -Tony Bernazard,53,450,73,169,8,NA,E,3181,530,A,17,A,442,342,351
 -Greg Walker,29,211,NA,78,5,73,W,1649,500,A,13,A,57,280,670
 -Tim Laudner,NA,129,29,47,6,42,W,1136,245,A,10,A,13,139,299
 -Cal Ripken,70,529,81,177,6,133,E,3210,1350,A,25,A,482,472,240
 -Tony Armas,0,1,0,2,2,0,E,28,NA,NA,0,A,4,0,247
 -Bobby Grich,39,1033,30,84,17,224,W,6890,NA,A,NA,A,221,864,127
 -Roy Smalley,68,713,57,113,12,155,W,5348,740,A,20,A,0,660,0
 -Dale Sveum,32,35,35,78,1,7,E,317,70,A,7,A,122,35,45
 -Tom Paciorek,3,488,22,61,17,83,W,4061,235,A,4,A,45,491,178
 -Mike Aldrete,33,27,25,54,1,2,W,216,75,N,2,N,36,25,317
 -Enos Cabell,14,753,29,71,15,60,W,5952,NA,N,2,N,32,596,360
 -Spike Owen,51,211,45,122,4,12,W,1716,350,A,1,A,372,146,209
 -Rick Burleson,33,630,29,77,12,48,W,4933,450,A,5,A,90,435,62
 -Bob Horner,52,545,87,141,9,215,W,3571,NA,N,27,N,102,652,1378
 -Howard Johnson,31,145,39,54,5,40,E,1185,297.5,N,NA,N,136,154,50
 -Greg Gagne,NA,102,54,118,4,14,W,793,155,A,12,A,377,80,228
 -Dwayne Murphy,56,575,39,83,9,145,W,3828,600,A,NA,A,6,528,276
 -Mark Salas,18,80,33,60,3,17,W,638,137,A,8,A,32,75,NA
 -Steve Jeltz,65,68,36,96,4,1,E,711,150,N,0,NA,406,56,229
 -Toby Harrah,44,1115,41,63,17,195,W,7402,NA,A,7,A,211,919,166
 -Frank White,43,743,84,154,14,131,W,6100,750,A,22,A,439,693,316
 -Reggie Williams,23,39,32,NA,2,4,W,312,NA,N,4,N,5,32,179
 -Rob Wilfong,16,315,33,63,10,38,W,2682,341.667,A,3,A,257,259,135
 -Pat Tabler,29,250,48,154,6,29,E,1966,580,A,6,A,84,252,846
 -Mike Fitzgerald,27,66,37,59,4,14,E,884,NA,N,6,N,35,106,415
 -Dave Winfield,77,1135,104,148,14,305,E,7287,1861.46,A,24,A,9,1234,292
 -Marvell Wynne,15,198,37,76,NA,16,W,1644,240,N,7,N,3,120,203
 -Darren Daulton,38,33,21,31,3,12,E,244,NA,N,8,NA,21,32,244
 -Cliff Johnson,1,3,2,7,4,1,E,41,NA,A,0,A,0,4,0
 -Candy Maldonado,20,99,85,102,6,29,W,950,415,N,18,N,10,138,161
 -Ozzie Virgil,63,176,48,80,7,61,W,1493,700,N,15,N,93,202,682
 -Larry Sheets,21,88,60,92,3,36,E,682,145,A,18,A,0,112,0
 -Rick Leach,13,102,39,76,6,12,E,912,250,A,5,A,0,96,44
 -Lou Whitaker,63,724,73,157,10,93,E,4704,420,A,20,A,421,522,276
 -Dwight Evans,97,1082,97,137,15,291,E,6661,933.333,A,26,A,10,949,280
 -Alan Ashby,39,321,38,81,14,69,W,3449,475,N,7,N,43,414,632
 -Gary Gaetti,52,361,108,171,6,107,W,2862,900,A,34,A,334,401,NA
 -Hubie Brooks,25,313,58,104,7,55,E,2954,750,N,14,N,222,377,116
 -Phil Garner,30,751,NA,83,14,104,W,5885,450,N,9,N,141,714,58
 -Wayne Krenchicki,22,107,23,53,8,15,E,1063,NA,N,2,N,58,124,325
 -John Moses,34,89,34,102,5,4,W,670,80,A,3,A,9,48,211
 -Larry Parrish,52,740,94,128,13,210,W,5829,587.5,A,28,A,0,840,0
 -Mickey Tettleton,39,59,35,43,3,14,W,498,120,A,10,A,32,55,463
 -Paul Molitor,40,676,55,123,9,79,E,4139,1260,A,9,A,170,390,82
 -Andy Allanson,14,30,29,66,1,1,E,293,NA,A,1,NA,33,29,446
 -Jose Uribe,61,96,43,101,3,6,W,948,195,N,3,N,444,72,249
 -Don Mattingly,53,349,113,238,5,93,E,2223,1975,A,31,A,100,401,1377
 -Mike Easler,49,445,78,148,13,113,E,3400,700,N,14,A,0,491,0
 -Mike Scioscia,62,181,26,94,NA,26,W,1968,875,N,5,N,64,199,756
 -Keith Moreland,53,363,79,159,NA,83,E,3082,1043.333,N,12,N,13,477,181
 -Ed Romero,18,166,23,49,8,7,E,1350,375,A,2,A,132,122,102
 -Ray Knight,40,410,76,145,11,67,E,3967,500,A,11,N,204,497,88
 -Keith Hernandez,94,969,83,171,13,128,E,6090,1800,N,13,N,149,900,1199
 -Johnny Ray,58,366,78,174,6,32,E,3053,657,N,7,N,479,337,280
 -Milt Thompson,26,71,23,NA,3,8,E,580,140,N,6,N,1,33,212
 -Jeff Reed,16,NA,9,39,3,2,W,196,75,N,2,A,19,10,332
 -Juan Samuel,26,310,78,157,4,52,E,2020,640,N,16,N,440,226,290
 -Cecil Cooper,41,987,75,140,16,235,E,7099,NA,A,12,A,61,1089,697
 -Leon Durham,67,436,65,127,7,116,E,3006,1183.333,N,20,N,80,458,1231
 -Jamie Quirk,17,100,26,47,12,23,W,1188,NA,A,8,A,58,125,260
 -Jose Canseco,65,101,117,144,2,38,W,696,165,A,33,A,4,130,319
 -Rich Gedman,37,244,65,119,7,69,E,2131,NA,A,16,A,65,288,866
 -Omar Moreno,21,699,27,84,12,37,W,4992,NA,N,4,N,8,386,151
 -Wally Joyner,57,82,100,172,1,22,W,593,NA,A,22,A,139,100,1222
 -Dick Schofield,48,160,57,114,4,28,W,1350,475,A,13,A,389,123,246
 -Rudy Law,29,379,36,80,7,18,W,2421,NA,A,1,A,2,NA,145
 -Greg Brock,37,195,52,76,5,71,W,1506,385,A,16,N,87,219,726
 -John Shelby,18,188,NA,92,6,30,E,1354,300,A,11,A,5,135,222
 -Rick Schu,18,98,25,57,3,17,E,653,140,N,8,N,94,54,42
 -Daryl Boston,21,57,22,53,3,8,W,514,75,A,5,A,3,40,152
 -Tom Foley,30,83,23,70,4,9,E,888,250,N,1,N,147,82,81
 -Bill Buckner,40,1008,102,168,18,164,E,8424,776.667,A,18,A,157,1072,1067
 -John Russell,25,68,60,76,3,24,E,630,155,N,13,N,39,94,498
 -Dave Kingman,33,901,94,118,16,442,W,6677,NA,A,35,A,32,1210,463
 -Mike Pagliarulo,54,150,71,120,3,54,E,1085,175,A,28,A,283,167,103
 -Doug DeCinces,52,712,96,131,14,221,W,5347,850,A,26,A,216,815,119
 -Scott Bradley,13,27,28,66,3,5,W,290,90,A,5,A,21,31,281
 -Pat Sheridan,21,166,19,56,5,24,E,1257,190,A,6,A,1,125,172
 -Mitch Webster,57,132,49,167,4,19,E,822,210,N,8,N,12,83,325
 -Ron Cey,44,965,36,70,16,312,E,7058,1050,A,13,N,118,1128,41
 -Marty Barrett,65,216,60,179,5,12,E,1696,575,A,4,A,450,163,303
 -Johnny Grubb,28,544,51,70,15,97,E,4040,365,A,13,A,0,462,0
 -Von Hayes,74,399,98,186,6,69,E,2728,1300,N,19,N,96,366,1182
 -Ernie Whitt,NA,266,56,106,NA,86,E,2303,NA,A,16,A,41,323,709
 -Alvin Davis,76,224,72,130,3,63,W,1624,480,A,18,A,82,266,880
 -Ken Griffey,35,983,58,150,14,121,E,6126,1000,N,21,A,5,707,96
 -Jim Dwyer,22,304,31,39,14,56,E,2128,275,A,8,A,3,268,33
 -Rey Quinones,24,32,22,68,1,2,E,312,70,A,2,A,150,22,86
 -Gary Ward,31,444,51,120,8,92,W,3118,600,A,5,A,8,419,237
 -Ruben Sierra,22,50,55,101,1,16,W,382,97.5,A,16,A,7,55,200
 -Willie McGee,37,379,48,127,5,32,E,2703,700,N,7,N,9,311,325
 -Andre Dawson,37,828,78,141,11,225,E,5628,500,N,20,N,11,838,200
 -Mike Davis,34,300,55,131,7,62,W,2051,780,A,19,A,9,263,310
 -Tom Brunansky,53,369,75,152,6,133,W,2765,940,A,23,A,10,384,315
 -Doug Baker,2,20,0,3,3,0,W,159,NA,A,NA,A,4,NA,80
 -Larry Herndon,27,557,37,70,12,94,E,4479,225,A,8,A,2,483,156
 -Kent Hrbek,71,405,91,147,6,117,W,2816,1310,A,29,A,104,474,1218
 -Hal McRae,18,935,37,70,18,190,W,7186,325,A,7,A,0,1088,0
 -Floyd Rayford,15,107,19,37,6,36,E,994,NA,A,8,A,115,114,40
 -Jim Traber,NA,31,44,54,2,13,E,233,NA,A,13,A,23,46,243
 -Bob Kearney,12,126,25,49,7,27,W,1309,300,A,6,A,46,132,419
 -Gary Matthews,60,1070,46,96,15,231,E,6986,733.333,N,21,N,5,955,137
 -Bob Boone,1,9,2,10,6,2,W,84,NA,A,1,A,84,9,812
 -Jerry Mumphrey,26,616,32,94,13,57,E,4618,600,N,5,N,3,522,161
 -Tony Phillips,76,NA,52,113,5,17,W,1546,425,A,5,A,290,149,160
 -Tony Pena,53,307,52,147,7,63,E,2872,1150,N,10,N,99,340,810
 -Jim Rice,62,1104,110,200,13,351,E,7127,2412.5,A,20,A,16,1289,330
 -Tom Brookens,20,324,25,NA,8,48,E,2658,341.667,A,3,A,144,300,106
 -Glenn Hubbard,66,429,36,94,9,59,W,3573,535,N,4,N,487,365,282
 -Eric Davis,68,156,71,115,3,45,W,711,300,N,27,N,2,119,274
 -Ryne Sandberg,46,494,76,178,6,74,E,3146,740,N,14,N,492,345,309
 -Wayne Tolleson,52,217,43,126,6,7,W,1700,385,A,3,A,113,93,37
 -Randy Bush,39,178,45,96,5,43,W,1394,300,A,7,A,2,192,167
 -Mike Schmidt,0,6,0,NA,2,2,E,41,2127.333,N,0,N,220,7,78
 -Joel Skinner,16,38,37,73,4,6,W,450,110,A,5,A,15,46,227
 -Tony Perez,25,1272,29,51,23,379,W,9778,NA,N,2,N,29,1652,398
-Tom O'Malley,17,88,18,46,5,9,NA,937,NA,A,1,NA,98,95,37
 -Buddy Biancalana,15,65,8,46,5,5,W,479,175,A,2,A,177,23,102
 -Bill Schroeder,9,86,19,46,4,32,E,694,180,A,7,A,25,76,307
 -Ron Roenicke,61,128,42,68,6,16,E,961,191,N,5,N,3,104,181
 -Bill Doran,81,349,37,152,5,32,W,2308,625,N,6,N,329,182,262
 -Don Slaught,16,156,46,83,5,28,W,1457,431.5,A,13,A,40,159,533
 -Mike Kingery,12,25,14,54,1,3,W,209,68,A,3,A,6,14,102
 -Billy Hatcher,22,80,36,108,3,8,W,591,110,N,6,N,7,46,226
 -Carlton Fisk,22,1003,63,101,17,281,W,6521,875,A,14,A,39,977,NA
 -Mickey Hatcher,19,269,32,88,8,28,W,2543,NA,A,3,A,16,270,220
 -Lloyd Moseby,64,513,86,149,7,102,E,3558,787.5,A,21,A,6,471,371
 -Garry Templeton,35,703,44,126,11,44,W,5562,737.5,N,2,N,358,519,207
 -Ozzie Smith,79,583,54,144,9,13,E,4739,1940,N,0,N,453,374,229
 -Darrell Porter,22,746,29,41,16,181,W,5409,260,A,12,A,9,NA,165
 -Jim Gantner,26,450,38,136,11,40,E,3871,850,A,7,A,347,367,304
 -Barry Bonds,65,72,48,92,1,16,E,413,100,N,16,N,9,48,280
 -Dave Henderson,39,285,NA,103,6,80,W,2174,325,A,15,A,9,274,182
 -George Foster,24,986,42,64,18,348,E,7023,NA,N,14,N,4,1239,96
 -Eddie Murray,78,884,84,151,10,275,E,5624,2460,A,17,A,88,1015,1045
 -Danny Heep,30,144,33,55,8,25,E,1313,NA,N,5,N,2,149,83
 -Dave Concepcion,26,950,30,81,17,100,W,8247,320,N,3,N,223,909,153
 -Tim Flannery,54,207,28,103,8,9,W,1897,326.667,NA,3,N,246,162,209
 -Craig Reynolds,12,409,41,78,12,35,W,3742,416.667,N,6,N,206,321,106
 -Randy Kutcher,11,28,16,44,1,7,W,186,NA,N,7,N,3,16,99
 -Joe Orsulak,28,126,19,100,4,2,E,876,NA,N,2,N,11,44,193
 -Charlie Moore,21,441,39,61,14,35,E,3926,NA,A,3,A,43,401,425
 -Bill Almon,NA,376,27,43,13,36,E,3231,240,N,7,N,45,290,80
 -Glenn Davis,64,148,101,152,3,53,W,985,215,N,31,N,111,173,1253
 -Dave Anderson,22,118,15,53,4,NA,W,926,225,N,1,N,152,69,73
 -Harold Reynolds,29,72,24,99,4,1,W,618,87.5,A,1,A,415,31,278
 -Brook Jacoby,56,219,80,168,5,44,E,1646,612.5,A,17,A,292,208,109
 -Kirby Puckett,34,262,96,223,3,35,W,1928,365,A,31,A,8,201,429
 -Sid Bream,60,93,77,140,4,22,E,730,200,N,16,N,166,106,1320
 -Buddy Bell,73,1045,75,158,15,177,W,8068,775,N,20,N,290,993,105
 -Willie Upshaw,78,470,60,144,8,97,E,3198,960,A,9,A,131,420,1314
 -Mike Marshall,27,247,53,77,6,90,W,1928,670,N,19,N,8,288,149
 -Butch Wynegar,NA,486,29,40,11,64,E,4183,NA,A,7,A,22,493,325
 -Don Baylor,62,1141,94,139,17,315,E,7546,950,A,31,A,0,1179,0
 -BillyJo Robidoux,33,20,21,41,2,4,E,232,67.5,A,1,A,29,NA,326
 -Mike Diaz,19,24,36,56,2,12,E,216,90,N,12,N,6,37,201
 -Herm Winningham,18,58,11,40,3,7,E,524,90,N,4,N,2,37,97
 -Ron Hassey,46,249,49,110,9,50,E,2331,560,A,9,A,9,322,251
 -Robin Yount,62,1043,46,163,13,153,E,7037,1000,A,9,A,9,827,352
 -Graig Nettles,41,1172,55,77,20,384,W,8716,200,N,16,N,174,1267,83
 -Andres Galarraga,30,48,42,87,2,12,E,396,91.5,N,10,N,40,46,805
 -Darrell Evans,91,1175,85,122,18,347,E,7761,535,A,29,A,108,1152,808
 -Bruce Bochy,14,67,22,32,8,24,W,727,135,N,8,N,22,NA,202
 -Rickey Henderson,89,862,NA,160,8,103,E,4071,1670,A,28,A,4,417,426
 -Ken Phelps,88,150,64,85,7,64,W,911,NA,A,24,A,0,156,0
 -Will Clark,34,66,41,117,1,11,W,408,120,N,11,N,72,41,942
 -Glenn Wilson,42,265,84,158,5,58,E,2358,662.5,N,15,N,20,316,331
 -Nick Esasky,47,167,41,76,4,55,W,1367,NA,N,12,N,30,198,512
 -Darnell Coles,45,99,86,142,4,22,E,815,105,A,20,A,242,103,107
 -Kirk Gibson,68,433,86,118,8,126,E,2723,1300,A,28,A,2,420,190
 -Bip Roberts,14,34,12,61,1,1,W,241,NA,N,1,N,172,12,166
 -Ron Oester,52,377,44,135,9,39,W,3368,750,N,8,N,475,284,367
 -Ricky Jones,7,2,4,6,1,0,W,33,NA,A,0,A,5,4,205
 -Terry Puhl,15,579,14,42,10,57,W,4086,900,N,3,N,0,363,65
 -Bill Russell,NA,796,18,54,18,46,W,7318,NA,N,0,N,84,627,103
 -Gary Pettis,69,247,58,139,5,12,W,1469,400,A,5,A,9,126,462
 -Ted Simmons,12,1048,25,32,19,242,W,8396,500,N,4,N,18,NA,167
 -Bob Melvin,15,34,25,60,2,5,W,350,90,N,5,N,59,29,442
 -Phil Bradley,77,245,50,163,4,38,W,1556,750,A,12,A,11,167,250
 -Argenis Salazar,7,41,24,73,3,0,W,509,100,A,0,A,283,37,121
 -Steve Balboni,43,204,88,NA,6,100,W,1750,100,NA,29,A,98,276,1236
 -Chris Brown,33,113,49,132,3,24,W,932,215,N,7,N,177,121,73
